ŠIFRA,NAZIV
0892,Eksploatacija treseta
0893,Eksploatacija natrijum-hlorida
0899,Eksploatacija ostalih nemetaličnih ruda i minerala
09,Uslužne delatnosti u rudarstvu i geološkim istraživanjima
091,Uslužne delatnosti u vezi sa istraživanjem i eksploatacijom nafte i gasa
0910,Uslužne delatnosti u vezi sa istraživanjem i eksploatacijom nafte i gasa
099,Uslužne delatnosti u vezi sa istraživanjem i eksploatacijom ostalih ruda
0990,Uslužne delatnosti u vezi sa istraživanjem i eksploatacijom ostalih ruda
C,PRERAĐIVAČKA INDUSTRIJA
10,Proizvodnja prehrambenih proizvoda
101,Prerada i konzervisanje mesa i proizvoda od mesa
1011,Prerada i konzervisanje mesa
1012,Prerada i konzervisanje živinskog mesa
1013,Proizvodnja mesnih prerađevina
102,"Prerada i konzervisanje ribe, ljuskara i mekušaca"
1020,"Prerada i konzervisanje ribe, ljuskara i mekušaca"
103,Prerada i konzervisanje voća i povrća
1031,Prerada i konzervisanje krompira
1032,Proizvodnja sokova od voća i povrća
1039,Ostala prerada i konzervisanje voća i povrća
104,Proizvodnja biljnih i životinjskih ulja i masti
1041,Proizvodnja ulja i masti
1042,Proizvodnja margarina i sličnih jestivih masti
105,Proizvodnja mlečnih proizvoda
1051,Prerada mleka i proizvodnja sireva
1052,Proizvodnja sladoleda
106,"Proizvodnja mlinskih proizvoda, skroba i skrobnih proizvoda "
1061,Proizvodnja mlinskih proizvoda
1062,Proizvodnja skroba i skrobnih proizvoda
107,Proizvodnja pekarskih proizvoda i testenine
1071,"Proizvodnja hleba, svežeg peciva i kolača"
1072,"Proizvodnja dvopeka, keksa, trajnog peciva i kolača"
1073,"Proizvodnja makarona, rezanaca i sličnih proizvoda od brašna"
108,Proizvodnja ostalih prehrambenih proizvoda
1081,Proizvodnja šećera
1082,"Proizvodnja kakaoa, čokolade i konditorskih proizvoda"
1083,Prerada čaja i kafe
1084,Proizvodnja začina i drugih dodataka hrani
1085,Proizvodnja gotovih jela
1086,Proizvodnja homogenizovanih hranljivih preparata i dijetetske hrane
1089,Proizvodnja ostalih prehrambenih proizvoda
109,Proizvodnja gotove hrane za životinje
1091,Proizvodnja gotove hrane za domaće životinje
1092,Proizvodnja gotove hrane za kućne ljubimce
11,Proizvodnja pića
110,Proizvodnja pića
1101,"Destilacija, prečišćavanje i mešanje pića"
1102,Proizvodnja vina od grožđa
1103,Proizvodnja pića i ostalih voćnih vina
1104,Proizvodnja ostalih nedestilovanih fermentisanih pića
1105,Proizvodnja piva
1106,Proizvodnja slada
1107,"Proizvodnja osvežavajućih pića, mineralne vode i ostale flaširane vode"
12,Proizvodnja duvanskih proizvoda
120,Proizvodnja duvanskih proizvoda
1200,Proizvodnja duvanskih proizvoda
13,Proizvodnja tekstila
131,Priprema i predenje tekstilnih vlakana
1310,Priprema i predenje tekstilnih vlakana
132,Proizvodnja tkanina
1320,Proizvodnja tkanina
133,Dovršavanje tekstila
1330,Dovršavanje tekstila
139,Proizvodnja ostalog tekstila
1391,Proizvodnja pletenih i kukičanih materijala
1392,"Proizvodnja gotovih tekstilnih proizvoda, osim odeće"
1393,Proizvodnja tepiha i prekrivača za pod
1394,"Proizvodnja užadi, kanapa, pletenica i mreža"
1395,"Proizvodnja netkanog tekstila i predmeta od njega, osim odeće"
1396,Proizvodnja ostalog tehničkog i industrijskog tekstila
1399,Proizvodnja ostalih tekstilnih predmeta
14,Proizvodnja odevnih predmeta
141,"Proizvodnja odeće, osim krznene"
1411,Proizvodnja kožne odeće
1412,Proizvodnja radne odeće
1413,Proizvodnja ostale odeće
1414,Proizvodnja rublja
1419,Proizvodnja ostalih odevnih predmeta i pribora
142,Proizvodnja proizvoda od krzna
1420,Proizvodnja proizvoda od krzna
143,Proizvodnja pletene i kukičane odeće
1431,Proizvodnja pletenih i kukičanih čarapa
1439,Proizvodnja ostale pletene i kukičane odeće
15,Proizvodnja kože i predmeta od kože
151,Štavljenje i dorada kože; proizvodnja putničkih i ručnih torbi i kaiševa; dorada i bojenje krzna
1511,Štavljenje i dorada kože; dorada i bojenje krzna
1512,"Proizvodnja putnih i ručnih torbi i sl., saračkih proizvoda i kaiševa"
152,Proizvodnja obuće
1520,Proizvodnja obuće
16,"Prerada drveta i proizvodi od drveta, plute, slame i pruća, osim nameštaja"
161,Rezanje i obrada drveta
1610,Rezanje i obrada drveta
162,"Proizvodnja proizvoda od drveta, plute, pruća i slame"
1621,Proizvodnja furnira i ploča od drveta
1622,Proizvodnja parketa
1623,Proizvodnja ostale građevinske stolarije i elemenata
1624,Proizvodnja drvne ambalaže
1629,"Proizvodnja ostalih proizvoda od drveta, plute, slame i pruća"
17,Proizvodnja papira i proizvoda od papira
171,"Proizvodnja celuloze, papira i kartona"
1711,Proizvodnja vlakana celuloze
1712,Proizvodnja papira i kartona
172,Proizvodnja predmeta od papira i kartona
1721,Proizvodnja talasastog papira i kartona i ambalaže od papira i kartona
1722,Proizvodnja predmeta od papira za ličnu upotrebu i upotrebu u domaćinstvu
1723,Proizvodnja kancelarijskih predmeta od papira
1724,Proizvodnja tapeta
1729,Proizvodnja ostalih proizvoda od papira i kartona
18,Štampanje i umnožavanje audio i video zapisa
181,Štampanje i štamparske usluge
1811,Štampanje novina
1812,Ostalo štampanje
1813,Usluge pripreme za štampu
1814,Knjigovezačke i srodne usluge
182,Umnožavanje snimljenih zapisa
1820,Umnožavanje snimljenih zapisa
19,Proizvodnja koksa i derivata nafte
191,Proizvodnja produkata koksovanja
1910,Proizvodnja produkata koksovanja
192,Proizvodnja derivata nafte
1920,Proizvodnja derivata nafte
20,Proizvodnja hemikalija i hemijskih proizvoda
201,"Proizvodnja osnovnih hemikalija, veštačkih đubriva i azotnih jedinjenja, plastičnih i sintetičkih masa"
2011,Proizvodnja industrijskih gasova
2012,Proizvodnja sredstava za pripremanje boja i pigmenata
2013,Proizvodnja ostalih osnovnih neorganskih hemikalija
2014,Proizvodnja ostalih osnovnih organskih hemikalija
2015,Proizvodnja veštačkih đubriva i azotnih jedinjenja
2016,Proizvodnja plastičnih masa u primarnim oblicima
2017,Proizvodnja sintetičkog kaučuka u primarnim oblicima
202,Proizvodnja pesticida i hemikalija za poljoprivredu
2020,Proizvodnja pesticida i hemikalija za poljoprivredu
203,"Proizvodnja boja, lakova i sličnih premaza, grafičkih boja i kitova"
2030,"Proizvodnja boja, lakova i sličnih premaza, grafičkih boja i kitova"
204,"Proizvodnja deterdženata, sapuna drugih sredstava za čišćenje, poliranje, parfema i toaletnih preparata"
2041,"Proizvodnja deterdženata, sapuna sredstava za čišćenje i poliranje"
2042,Proizvodnja parfema i toaletnih preparata
205,Proizvodnja ostalih hemijskih proizvoda
2051,Proizvodnja eksploziva
2052,Proizvodnja sredstava za lepljenje
2053,Proizvodnja eteričnih ulja
2059,Proizvodnja ostalih hemijskih proizvoda
206,Proizvodnja veštačkih vlakana
2060,Proizvodnja veštačkih vlakana
21,Proizvodnja osnovnih farmaceutskih proizvoda i preparata
211,Proizvodnja osnovnih farmaceutskih proizvoda
2110,Proizvodnja osnovnih farmaceutskih proizvoda
212,Proizvodnja farmaceutskih preparata
2120,Proizvodnja farmaceutskih preparata
22,Proizvodnja proizvoda od gume i plastike
221,Proizvodnja proizvoda od gume
2211,"Proizvodnja guma za vozila, protektiranje guma za vozila"
2219,Proizvodnja ostalih proizvoda od gume
222,Proizvodnja proizvoda od plastike
2221,"Proizvodnja ploča, listova, cevi i profila od plastike"
2222,Proizvodnja ambalaže od plastike
2223,Proizvodnja predmeta od plastike za građevinarstvo
2229,Proizvodnja ostalih proizvoda od plastike
23,Proizvodnja proizvoda od ostalih nemetalnih minerala
231,Proizvodnja stakla i proizvoda od stakla
2311,Proizvodnja ravnog stakla
2312,Oblikovanje i obrada ravnog stakla
2313,Proizvodnja šupljeg stakla
2314,Proizvodnja staklenih vlakana
2319,"Proizvodnja i obrada ostalog stakla, uključujući tehničke staklene proizvode"
232,Proizvodnja vatrostalnih proizvoda
2320,Proizvodnja vatrostalnih proizvoda
233,Proizvodnja građevinskih materijala od gline
2331,Proizvodnja keramičkih pločica i ploča
2332,"Proizvodnja opeke, crepa i građevinskih proizvoda od pečene gline"
234,Proizvodnja ostalih keramičkih i porcelanskih proizvoda
2341,Proizvodnja keramičkih predmeta za domaćinstvo i ukrasnih predmeta
2342,Proizvodnja sanitarnih keramičkih proizvoda
2343,Proizvodnja izolatora i izolacionog pribora od keramike
2344,Proizvodnja ostalih tehničkih proizvoda od keramike
2349,Proizvodnja ostalih keramičkih proizvoda
235,"Proizvodnja cementa, kreča i gipsa"
2351,Proizvodnja cementa
2352,Proizvodnja kreča i gipsa
236,"Proizvodnja proizvoda od betona, cementa i gipsa"
2361,Proizvodnja proizvoda od betona namenjenih za građevinarstvo
2362,Proizvodnja proizvoda od gipsa namenjenih za građevinarstvo
2363,Proizvodnja svežeg betona
2364,Proizvodnja maltera
2365,Proizvodnja proizvoda od cementa s vlaknima
2369,"Proizvodnja ostalih proizvoda od betona, gipsa i cementa"
237,"Sečenje, oblikovanje i obrada kamena"
2370,"Sečenje, oblikovanje i obrada kamena"
239,Proizvodnja brusnih i ostalih nemetalnih mineralnih proizvoda
2391,Proizvodnja brusnih proizvoda
2399,Proizvodnja ostalih proizvoda od nemetalnih minerala
24,Proizvodnja osnovnih metala
241,"Proizvodnja sirovog gvožđa, čelika i ferolegura"
2410,"Proizvodnja sirovog gvožđa, čelika i ferolegura"
242,"Proizvodnja čeličnih cevi, šupljih profila i fitinga"
2420,"Proizvodnja čeličnih cevi, šupljih profila i fitinga"
243,Proizvodnja ostalih proizvoda primarne prerade čelika
2431,Hladno valjanje šipki
2432,Hladno valjanje pljosnatih proizvoda
2433,Hladno oblikovanje profila
2434,Hladno vučenje žice
244,Proizvodnja plemenitih i ostalih obojenih metala
2441,Proizvodnja plemenitih metala
2442,Proizvodnja aluminijuma
2443,"Proizvodnja olova, cinka i kalaja"
2444,Proizvodnja bakra
2445,Proizvodnja ostalih obojenih metala
2446,Proizvodnja nuklearnog goriva
245,Livenje metala
2451,Livenje gvožđa
2452,Livenje čelika
2453,Livenje lakih metala
2454,Livenje ostalih obojenih metala
25,"Proizvodnja metalnih proizvoda, osim mašina i uređaja"
251,Proizvodnja metalnih konstrukcija
2511,Proizvodnja metalnih konstrukcija i delova konstrukcija
2512,Proizvodnja metalnih vrata i prozora
252,"Proizvodnja metalnih cisterni, rezervoara i kontejnera"
2521,Proizvodnja kotlova i radijatora za centralno grejanje
2529,"Proizvodnja ostalih metalnih cisterni, rezervoara i kontejnera"
253,"Proizvodnja parnih kotlova, osim kotlova za centralno grejanje"
2530,"Proizvodnja parnih kotlova, osim kotlova za centralno grejanje"
254,Proizvodnja oružja i municije
2540,Proizvodnja oružja i municije
255,"Kovanje, presovanje, štancovanje i valjanje metala; metalurgija praha"
2550,"Kovanje, presovanje, štancovanje i valjanje metala; metalurgija praha"
256,Obrada i prevlačenje metala; mašinska obrada metala
2561,Obrada i prevlačenje metala
2562,Mašinska obrada metala
257,"Proizvodnja sečiva, alata i metalne robe opšte namene"
2571,Proizvodnja sečiva
2572,Proizvodnja brava i okova
2573,Proizvodnja alata
259,Proizvodnja ostalih metalnih proizvoda
2591,Proizvodnja čeličnih buradi i slične ambalaže
2592,Proizvodnja ambalaže od lakih metala
2593,"Proizvodnja žičanih proizvoda, lanaca i opruga"
2594,Proizvodnja veznih elemenata i vijčanih mašinskih proizvoda
2599,Proizvodnja ostalih metalnih proizvoda
26,"Proizvodnja računara, elektronskih i optičkih proizvoda"
261,Proizvodnja elektronskih elemenata i ploča
2611,Proizvodnja elektronskih elemenata
2612,Proizvodnja štampanih elektronskih ploča
262,Proizvodnja računara i periferne opreme
2620,Proizvodnja računara i periferne opreme
263,Proizvodnja komunikacione opreme
2630,Proizvodnja komunikacione opreme
264,Proizvodnja elektronskih uređaja za široku potrošnju
2640,Proizvodnja elektronskih uređaja za široku potrošnju
265,"Proizvodnja mernih, istraživačkih i navigacionih instrumenata i aparata; proizvodnja satova"
2651,"Proizvodnja mernih, istraživačkih i navigacionih instrumenata i aparata"
2652,Proizvodnja satova
266,"Proizvodnja opreme za zračenje, elektromedicinske i elektroterapeutske opreme"
2660,"Proizvodnja opreme za zračenje, elektromedicinske i elektroterapeutske opreme"
267,Proizvodnja optičkih instrumenata i fotografske opreme
2670,Proizvodnja optičkih instrumenata i fotografske opreme
268,Proizvodnja magnetnih i optičkih nosilaca zapisa
2680,Proizvodnja magnetnih i optičkih nosilaca zapisa
27,Proizvodnja električne opreme
271,"Proizvodnja elektromotora, generatora, transformatora i opreme za distribuciju električne energije"
2711,"Proizvodnja elektromotora, generatora i transformatora"
2712,Proizvodnja opreme za distribuciju električne energije i opreme za upravljanje električnom energijom
272,Proizvodnja baterija i akumulatora
2720,Proizvodnja baterija i akumulatora
273,Proizvodnja žičane i kablovske opreme
2731,Proizvodnja kablova od optičkih vlakana
2732,Proizvodnja ostalih elektronskih i električnih provodnika i kablova
2733,Proizvodnja opreme za povezivanje žica i kablova
274,Proizvodnja opreme za osvetljenje
2740,Proizvodnja opreme za osvetljenje
275,Proizvodnja aparata za domaćinstvo
2751,Proizvodnja električnih aparata za domaćinstvo
2752,Proizvodnja neelektričnih aparata za domaćinstvo
279,Proizvodnja ostale električne opreme
2790,Proizvodnja ostale električne opreme
28,Proizvodnja nepomenutih mašina i nepomenute opreme
281,Proizvodnja mašina opšte namene
2811,"Proizvodnja motora i turbina, osim za letelice i motorna vozila"
2812,Proizvodnja hidrauličnih pogonskih uređaja
2813,Proizvodnja ostalih pumpi i kompresora
2814,Proizvodnja ostalih slavina i ventila
2815,"Proizvodnja ležajeva, zupčanika i zupčastih pogonskih elemenata"
282,Proizvodnja ostalih mašina opšte namene
2821,Proizvodnja industrijskih peći i gorionika
2822,Proizvodnja opreme za podizanje i prenošenje
2823,"Proizvodnja kancelarijskih mašina i opreme, osim računara i računarske opreme"
2824,Proizvodnja ručnih pogonskih aparata sa mehanizmima
2825,"Proizvodnja rashladne i ventilacione opreme, osim za domaćinstvo"
2829,Proizvodnja ostalih mašina i aparata opšte namene
283,Proizvodnja mašina za poljoprivredu i šumarstvo
2830,Proizvodnja mašina za poljoprivredu i šumarstvo
284,Proizvodnja mašina za obradu metala i alatnih mašina
2841,Proizvodnja mašina za obradu metala
2849,Proizvodnja ostalih alatnih mašina
289,Proizvodnja ostalih mašina za specijalne namene
2891,Proizvodnja mašina za metalurgiju
2892,"Proizvodnja mašina za rudnike, kamenolome i građevinarstvo"
2893,"Proizvodnja mašina za industriju hrane, pića i duvana"
2894,"Proizvodnja mašina za industriju tekstila, odeće i kože"
2895,Proizvodnja mašina za industriju papira i kartona
2896,Proizvodnja mašina za izradu plastike i gume
2899,Proizvodnja mašina za ostale specijalne namene
29,"Proizvodnja motornih vozila, prikolica i poluprikolica"
291,Proizvodnja motornih vozila
2910,Proizvodnja motornih vozila
292,"Proizvodnja karoserija za motorna vozila, prikolice i poluprikolice"
2920,"Proizvodnja karoserija za motorna vozila, prikolice i poluprikolice"
293,Proizvodnja delova i pribora za motorna vozila i motore za njih
2931,Proizvodnja električne i elektronske opreme za motorna vozila
2932,Proizvodnja ostalih delova i dodatne opreme za motorna vozila
30,Proizvodnja ostalih saobraćajnih sredstava
301,Izgradnja brodova i čamaca
3011,Izgradnja brodova i plovnih objekata
3012,Izrada čamaca za sport i razonodu
302,Proizvodnja lokomotiva i šinskih vozila
3020,Proizvodnja lokomotiva i šinskih vozila
303,Proizvodnja vazdušnih i svemirskih letelica i odgovarajuće opreme
3030,Proizvodnja vazdušnih i svemirskih letelica i odgovarajuće opreme
304,Proizvodnja borbenih vojnih vozila
3040,Proizvodnja borbenih vojnih vozila
309,Proizvodnja ostalih transportnih sredstava
3091,Proizvodnja motocikala
3092,Proizvodnja bicikala i invalidskih kolica
3099,Proizvodnja ostale transportne opreme
31,Proizvodnja nameštaja
310,Proizvodnja nameštaja
3101,Proizvodnja nameštaja za poslovne i prodajne prostore
3102,Proizvodnja kuhinjskog nameštaja
3103,Proizvodnja madraca
3109,Proizvodnja ostalog nameštaja
32,Ostale prerađivačke delatnosti
321,"Proizvodnja nakita, bižuterije i sličnih predmeta"
3211,Kovanje novca
3212,Proizvodnja nakita i srodnih predmeta
3213,Proizvodnja imitacije nakita i srodnih proizvoda
322,Proizvodnja muzičkih instrumenata
3220,Proizvodnja muzičkih instrumenata
323,Proizvodnja sportske opreme
3230,Proizvodnja sportske opreme
324,Proizvodnja igara i igračaka
3240,Proizvodnja igara i igračaka
325,Proizvodnja medicinskih i stomatoloških instrumenata i materijala
3250,Proizvodnja medicinskih i stomatoloških instrumenata i materijala
329,Ostale prerađivačke delatnosti
3291,Proizvodnja metli i četki
3299,Proizvodnja ostalih predmeta
33,Popravka i montaža mašina i opreme
331,"Popravka metalnih proizvoda, mašina i opreme"
3311,Popravka metalnih proizvoda
3312,Popravka mašina
3313,Popravka elektronske i optičke opreme
3314,Popravka električne opreme
3315,Popravka i održavanje brodova i čamaca
3316,Popravka i održavanje letelica i svemirskih letelica
3317,Popravka i održavanje druge transportne opreme
3319,Popravka ostale opreme
332,Montaža industrijskih mašina i opreme
3320,Montaža industrijskih mašina i opreme
D,"SNABDEVANjE ELEKTRIČNOM ENERGIJOM, GASOM, PAROM I KLIMATIZACIJA"
35,"Snabdevanje električnom energijom, gasom, parom i klimatizacija"
351,"Proizvodnja, prenos i distribucija električne energije"
3511,Proizvodnja električne energije
3512,Prenos električne energije
3513,Distribucija električne energije
3514,Trgovina električnom energijom
352,Proizvodnja gasa i distribucija gasovitih goriva gasovodima
3521,Proizvodnja gasa
3522,Distribucija gasovitih goriva gasovodom
3523,Trgovina gasovitim gorivima preko gasovodne mreže
353,Snabdevanje parom i klimatizacija
3530,Snabdevanje parom i klimatizacija
E,"SNABDEVANjE VODOM; UPRAVLjANjE OTPADNIM VODAMA, KONTROLISANjE PROCESA UKLANjANjA OTPADA I SLIČNE AKTIVNOSTI"
36,"Skupljanje, prečišćavanje i distribucija vode"
360,"Skupljanje, prečišćavanje i distribucija vode"
3600,"Skupljanje, prečišćavanje i distribucija vode"
37,Uklanjanje otpadnih voda
370,Uklanjanje otpadnih voda
3700,Uklanjanje otpadnih voda
38,"Sakupljanje,  tretman i odlaganje otpada; ponovno iskorišćavanje otpadnih materija"
381,Skupljanje otpada
3811,Skupljanje otpada koji nije opasan
3812,Skupljanje opasnog otpada
382,Tretman i odlaganje otpada
3821,Tretman i odlaganje otpada koji nije opasan
3822,Tretman i odlaganje opasnog otpada
383,Ponovna upotreba materijala
3831,Demontaža olupina
3832,Ponovna upotreba razvrstanih materijala
39,"Sanacija, rekultivacija i druge usluge u oblasti upravljanja otpadom"
390,"Sanacija, rekultivacija i duge usluge u oblasti upravljanja otpadom"
3900,"Sanacija, rekultivacija i druge usluge u oblasti upravljanja otpadom"
F,GRAĐEVINARSTVO
41,Izgradnja zgrada
411,Razrada građevinskih projekata
4110,Razrada građevinskih projekata
412,Izgradnja stambenih i nestambenih zgrada
4120,Izgradnja stambenih i nestambenih zgrada
42,Izgradnja ostalih građevina
421,Izgradnja puteva i železničkih pruga
4211,Izgradnja puteva i autoputeva
4212,Izgradnja železničkih pruga i podzemnih železnica
4213,Izgradnja mostova i tunela
422,"Izgradnja cevovoda, električnih i komunikacionih vodova"
4221,Izgradnja cevovoda
4222,Izgradnja električnih i telekomunikacionih vodova
429,Izgradnja ostalih građevina
4291,Izgradnja hidrotehničkih objekata
4299,Izgradnja ostalih nepomenutih građevina
43,Specijalizovani građevinski radovi
431,Rušenje i pripremanje gradilišta
4311,Rušenje objekata
4312,Pripremna gradilišta
4313,Ispitivanje terena bušenjem i sondiranjem
432,Instalacioni radovi u građevinarstvu
4321,Postavljanje električnih instalacija
4322,"Postavljanje vodovodnih, kanalizacionih, grejnih i klimatizacionih sistema"
4329,Ostali instalacioni radovi u građevinarstvu
433,Završni građevinsko-zanatski radovi
4331,Malterisanje
4332,Ugradnja stolarije
4333,Postavljanje podnih i zidnih obloga
4334,Bojenje i zastakljivanje
4339,Ostali završni radovi
439,Ostali specifični građevinski radovi
4391,Krovni radovi
4399,Ostali nepomenuti specifični građevinski radovi
G,TRGOVINA NA VELIKO I TRGOVINA NA MALO; POPRAVKA MOTORNIH VOZILA I MOTOCIKALA
45,Trgovina na veliko i trgovina na malo i popravka motornih vozila i motocikala
451,Trgovina motornim vozilima
4511,Trgovina automobilima i lakim motornim vozilima
4519,Trgovina ostalim motornim vozilima
452,Održavanje i popravka motornih vozila
4520,Održavanje i popravka motornih vozila
453,Trgovina delovima i priborom za motorna vozila
4531,Trgovina na veliko delovima i opremom za motorna vozila
4532,Trgovina na malo delovima i opremom za motorna vozila
454,"Trgovina motociklima, delovima i priborom, održavanje i popravka motocikala"
4540,"Trgovina motociklima, delovima i priborom, održavanje i popravka motocikala"
46,"Trgovina na veliko, osim trgovine motornim vozilima i motociklima"
461,Trgovina na veliko za naknadu
4611,"Posredovanje u prodaji poljoprivrednih sirovina, životinja, tekstilnih sirovina i poluproizvoda"
4612,"Posredovanje u prodaji goriva, ruda, metala i industrijskih hemikalija"
4613,Posredovanje u prodaji drvne građe i građevinskog materijala
4614,"Posredovanje u prodaji mašina, industrijske opreme, brodova i aviona"
4615,"Posredovanje u prodaji nameštaja, predmeta za domaćinstvo i metalne robe"
4616,"Posredovanje u prodaji tekstila, odeće, krzna, obuće i predmeta od kože"
4617,"Posredovanje u prodaji hrane, pića i duvana"
4618,Specijalizovano posredovanje u prodaji posebnih proizvoda
4619,Posredovanje u prodaji raznovrsnih proizvoda
462,Trgovina na veliko poljoprivrednim sirovinama i životinjama
4621,"Trgovina na veliko žitom, sirovim duvanom, semenjem i hranom za životinje"
4622,Trgovina na veliko cvećem i sadnicama
4623,Trgovina na veliko životinjama
4624,"Trgovina na veliko sirovom, nedovršenom i dovršenom kožom"
463,"Trgovina na veliko hranom, pićima i duvanom"
4631,Trgovina na veliko voćem i povrćem
4632,Trgovina na veliko mesom i proizvodima od mesa
4633,"Trgovina na veliko mlečnim proizvodima, jajima i jestivim uljima i mastima"
4634,Trgovina na veliko pićima
4635,Trgovina na veliko duvanskim proizvodima
4636,"Trgovina na veliko šećerom, čokoladom i slatkišima"
4637,"Trgovina na veliko kafom, čajevima, kakaom i začinima"
4638,"Trgovina na veliko ostalom hranom, uključujući ribu, ljuskare i mekušce"
4639,"Nespecijalizovana trgovina na veliko hranom, pićima i duvanom"
464,Trgovina na veliko predmetima za domaćinstvo
4641,Trgovina na veliko tekstilom
4642,Trgovina na veliko odećom i obućom
4643,Trgovina na veliko električnim aparatima za domaćinstvo
4644,"Trgovina na veliko porculanom, staklenom robom i sredstvima za čišćenje"
4645,Trgovina na veliko parfimerijskim i kozmetičkim proizvodima
4646,Trgovina na veliko farmaceutskim proizvodima
4647,"Trgovina na veliko nameštajem, tepisima i opremom za osvetljenje"
4648,Trgovina na veliko satovima i nakitom
4649,Trgovina na veliko ostalim proizvodima za domaćinstvo
465,Trgovina na veliko informaciono-komunikacionom opremom
4651,"Trgovina na veliko računarima, računarskom opremom i softverima"
4652,Trgovina na veliko elektronskim i telekomunikacionim delovima i opremom
466,"Trgovina na veliko ostalim mašinama, opremom i priborom"
4661,"Trgovina na veliko poljoprivrednim mašinama, opremom i priborom"
4662,Trgovina na veliko alatnim mašinama
4663,Trgovina na veliko rudarskim i građevinskim mašinama
4664,Trgovina na veliko mašinama za tekstilnu industriju i mašinama za šivenje i pletenje
4665,Trgovina na veliko kancelarijskim nameštajem
4666,Trgovina na veliko ostalim kancelarijskim mašinama i opremom
4669,Trgovina na veliko ostalim mašinama i opremom
467,Ostala specijalizovana trgovina na veliko
4671,"Trgovina na veliko čvrstim, tečnim i gasovitim gorivima i sličnim proizvodima"
4672,Trgovina na veliko metalima i metalnim rudama
4673,"Trgovina na veliko drvetom, građevinskim materijalom i sanitarnom opremom"
4674,"Trgovina na veliko metalnom robom, instalacionim materijalima, opremom i priborom za grejanje"
4675,Trgovina na veliko hemijskim proizvodima
4676,Trgovina na veliko ostalim poluproizvodima
4677,Trgovina na veliko otpacima i ostacima
469,Nespecijalizovana trgovina na veliko
4690,Nespecijalizovana trgovina na veliko
47,"Trgovina na malo, osim trgovine motornim vozilima i motociklima"
471,Trgovina na malo u nespecijalizovanim prodavnicama
4711,"Trgovina na malo u nespecijalizovanim prodavnicama, pretežno hranom, pićima i duvanom"
